iter	Passed	Remaining
0	20	403897
1	37	371319
2	50	339838
3	64	324650
4	79	317764
5	96	323089
6	110	315859
7	123	309081
8	137	304733
9	150	301349
10	164	298077
11	177	295989
12	191	293941
13	218	311827
14	232	309239
15	247	308832
16	264	310491
17	277	308092
18	292	307103
19	306	306514
20	322	306492
21	339	308591
22	353	306861
23	366	305408
24	379	303510
25	393	302169
26	407	301090
27	421	300969
28	435	299746
29	451	300430
30	465	299660
31	478	298866
32	491	297438
33	504	296513
34	518	295850
35	531	294758
36	544	293647
37	557	292740
38	569	291664
39	581	290415
40	594	289334
41	606	288250
42	619	287673
43	633	287473
44	646	286622
45	658	285820
46	670	284847
47	683	284070
48	697	283909
49	712	284194
50	725	283824
51	738	283195
52	750	282431
53	763	281967
54	775	281309
55	787	280596
56	799	279774
57	811	279148
58	823	278414
59	835	277754
60	848	277224
61	859	276536
62	871	275860
63	883	275224
64	895	274595
65	907	273966
66	919	273559
67	931	273110
68	943	272564
69	958	273003
70	971	272625
71	983	272182
72	995	271862
73	1008	271655
74	1021	271387
75	1033	271012
76	1046	270808
77	1059	270678
78	1072	270532
79	1085	270343
80	1097	270012
81	1109	269614
82	1122	269295
83	1134	269016
84	1147	268861
85	1161	268878
86	1173	268517
87	1185	268279
88	1198	268065
89	1210	267817
90	1224	267956
91	1238	267916
92	1251	267809
93	1265	267897
94	1277	267768
95	1290	267570
96	1303	267501
97	1316	267377
98	1329	267199
99	1342	267130
100	1355	266965
101	1367	266781
102	1379	266554
103	1392	266382
104	1404	266179
105	1417	265973
106	1431	266121
107	1443	265909
108	1456	265715
109	1468	265607
110	1481	265531
111	1494	265395
112	1507	265281
113	1520	265205
114	1533	265160
115	1545	264988
116	1558	264825
117	1571	264711
118	1583	264575
119	1596	264535
120	1610	264514
121	1623	264454
122	1636	264383
123	1648	264252
124	1662	264399
125	1675	264279
126	1687	264097
127	1700	264041
128	1713	263971
129	1727	263995
130	1739	263903
131	1752	263753
132	1765	263653
133	1777	263522
134	1789	263363
135	1801	263178
136	1813	262979
137	1825	262798
138	1838	262699
139	1850	262518
140	1862	262308
141	1875	262232
142	1887	262072
143	1899	261919
144	1926	263844
145	1939	263805
146	1952	263635
147	1963	263436
148	1975	263255
149	1988	263095
150	2001	263036
151	2012	262845
152	2024	262679
153	2041	263140
154	2054	263054
155	2067	262964
156	2079	262818
157	2091	262677
158	2103	262517
159	2115	262365
160	2127	262201
161	2139	262026
162	2153	262107
163	2166	262017
164	2178	261890
165	2190	261756
166	2202	261613
167	2214	261456
168	2227	261330
169	2238	261168
170	2251	261037
171	2263	260927
172	2275	260784
173	2287	260671
174	2299	260497
175	2311	260382
176	2323	260264
177	2336	260149
178	2349	260122
179	2361	259995
180	2374	260018
181	2387	259931
182	2399	259864
183	2412	259820
184	2424	259707
185	2437	259672
186	2450	259588
187	2462	259541
188	2476	259603
189	2489	259514
190	2501	259452
191	2513	259344
192	2525	259219
193	2538	259142
194	2550	259032
195	2563	258973
196	2575	258912
197	2588	258877
198	2601	258852
199	2614	258791
200	2626	258737
201	2639	258726
202	2652	258668
203	2665	258627
204	2678	258603
205	2691	258647
206	2704	258605
207	2717	258597
208	2730	258528
209	2743	258521
210	2755	258402
211	2767	258311
212	2780	258254
213	2792	258230
214	2805	258170
215	2817	258087
216	2830	258000
217	2842	257945
218	2855	257927
219	2868	257900
220	2881	257874
221	2894	257834
222	2906	257798
223	2919	257715
224	2932	257702
225	2944	257667
226	2957	257584
227	2969	257543
228	2982	257487
229	2994	257431
230	3007	257371
231	3019	257308
232	3032	257273
233	3044	257186
234	3057	257164
235	3070	257146
236	3083	257085
237	3095	257061
238	3108	257038
239	3121	257015
240	3134	256980
241	3147	256965
242	3160	256928
243	3173	256946
244	3185	256883
245	3198	256872
246	3211	256815
247	3224	256808
248	3236	256758
249	3249	256741
250	3262	256701
251	3275	256645
252	3287	256619
253	3300	256584
254	3313	256571
255	3326	256551
256	3339	256524
257	3351	256490
258	3364	256415
259	3376	256364
260	3388	256301
261	3401	256269
262	3414	256235
263	3426	256177
264	3439	256149
265	3452	256111
266	3464	256081
267	3477	256031
268	3490	256008
269	3502	255960
270	3515	255918
271	3527	255868
272	3541	255891
273	3553	255857
274	3566	255820
275	3579	255786
276	3593	255886
277	3606	255848
278	3618	255783
279	3631	255752
280	3643	255698
281	3655	255617
282	3668	255569
283	3681	255588
284	3694	255579
285	3707	255537
286	3719	255493
287	3732	255474
288	3745	255451
289	3758	255416
290	3770	255341
291	3782	255268
292	3794	255241
293	3807	255196
294	3819	255146
295	3831	255081
296	3844	255013
297	3856	254979
298	3869	254952
299	3882	254924
300	3894	254862
301	3906	254829
302	3918	254760
303	3931	254735
304	3943	254663
305	3956	254626
306	3970	254673
307	3983	254680
308	3995	254625
309	4008	254598
310	4021	254591
311	4035	254632
312	4047	254586
313	4060	254546
314	4072	254468
315	4084	254436
316	4097	254449
317	4111	254446
318	4123	254406
319	4136	254365
320	4148	254322
321	4160	254255
322	4172	254203
323	4185	254188
324	4197	254114
325	4211	254162
326	4223	254092
327	4235	254026
328	4247	253979
329	4259	253917
330	4272	253880
331	4284	253816
332	4296	253767
333	4309	253756
334	4322	253731
335	4334	253682
336	4347	253673
337	4360	253639
338	4372	253591
339	4385	253576
340	4397	253532
341	4411	253576
342	4426	253681
343	4438	253618
344	4451	253585
345	4463	253540
346	4475	253481
347	4488	253448
348	4500	253396
349	4512	253338
350	4524	253298
351	4537	253280
352	4550	253271
353	4563	253241
354	4575	253203
355	4587	253164
356	4600	253120
357	4612	253058
358	4624	253000
359	4639	253089
360	4652	253087
361	4665	253079
362	4677	253026
363	4689	252974
364	4701	252941
365	4714	252898
366	4726	252866
367	4739	252832
368	4751	252788
369	4763	252742
370	4776	252700
371	4788	252656
372	4800	252592
373	4812	252544
374	4824	252494
375	4836	252438
376	4848	252376
377	4860	252332
378	4873	252292
379	4887	252373
380	4900	252349
381	4912	252298
382	4924	252238
383	4936	252188
384	4949	252146
385	4961	252117
386	4973	252072
387	4989	252176
388	5001	252150
389	5013	252093
390	5025	252044
391	5037	251992
392	5050	251966
393	5062	251918
394	5074	251862
395	5086	251813
396	5098	251766
397	5110	251720
398	5122	251663
399	5135	251634
400	5147	251598
401	5160	251560
402	5172	251516
403	5184	251485
404	5196	251441
405	5209	251398
406	5222	251393
407	5234	251379
408	5247	251343
409	5259	251304
410	5271	251259
411	5283	251212
412	5296	251185
413	5308	251142
414	5321	251127
415	5333	251107
416	5346	251098
417	5359	251075
418	5372	251077
419	5385	251044
420	5397	251024
421	5409	250985
422	5422	250951
423	5435	250938
424	5447	250903
425	5459	250870
426	5472	250830
427	5484	250785
428	5496	250755
429	5509	250745
430	5521	250696
431	5533	250664
432	5546	250620
433	5559	250629
434	5572	250622
435	5585	250609
436	5597	250572
437	5609	250547
438	5622	250541
439	5635	250529
440	5648	250516
441	5662	250573
442	5676	250606
443	5691	250682
444	5704	250665
445	5716	250634
446	5728	250592
447	5741	250567
448	5754	250554
449	5766	250518
450	5779	250512
451	5792	250501
452	5804	250468
453	5817	250452
454	5830	250452
455	5843	250457
456	5856	250451
457	5869	250436
458	5882	250435
459	5894	250404
460	5908	250410
461	5920	250374
462	5933	250369
463	5946	250372
464	5958	250341
465	5972	250348
466	5985	250347
467	5997	250304
468	6009	250260
469	6021	250230
470	6034	250195
471	6046	250160
472	6058	250126
473	6070	250085
474	6083	250047
475	6095	250001
476	6107	249966
477	6119	249926
478	6131	249883
479	6143	249852
480	6156	249826
481	6168	249798
482	6180	249760
483	6192	249709
484	6204	249668
485	6216	249625
486	6228	249580
487	6240	249535
488	6253	249509
489	6265	249477
490	6277	249430
491	6289	249384
492	6303	249433
493	6316	249402
494	6328	249372
495	6341	249346
496	6353	249313
497	6365	249270
498	6377	249236
499	6390	249232
500	6403	249237
501	6416	249202
502	6428	249192
503	6441	249169
504	6453	249148
505	6466	249129
506	6479	249120
507	6491	249072
508	6503	249051
509	6518	249105
510	6531	249090
511	6543	249055
512	6556	249040
513	6568	249015
514	6581	248992
515	6592	248948
516	6605	248920
517	6617	248887
518	6629	248860
519	6642	248835
520	6654	248813
521	6667	248778
522	6679	248738
523	6691	248707
524	6703	248673
525	6716	248663
526	6728	248637
527	6764	249482
528	6789	249895
529	6803	249931
530	6816	249925
531	6831	249980
532	6844	249982
533	6879	250764
534	6896	250911
535	6919	251277
536	6933	251288
537	6946	251272
538	6982	252120
539	6995	252087
540	7018	252440
541	7038	252690
542	7056	252840
543	7071	252926
544	7084	252895
545	7096	252852
546	7109	252852
547	7122	252809
